Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",1.3898291398402105,2.9524340254019177,0.47074011743615907
"vm(PLANT_ID, k_full)_J250.C",13.031782060567913,1.4587618666299722,8.933454019245719
"vm(PLANT_ID, k_full)_J251.C",2.9218121115026765,2.673206682861963,1.0929989552377424
"vm(PLANT_ID, k_full)_J352.A",-2.7725725801619485,2.602374723247736,-1.0654009798795645
"vm(PLANT_ID, k_full)_J001.A",5.187620384335711,1.4626693247264362,3.546680234991565
"vm(PLANT_ID, k_full)_J208.B",3.7374155278295325,1.4565527580968822,2.5659321346607475
"vm(PLANT_ID, k_full)_J008.C",1.4827888345515703,2.9026432863721308,0.5108408744240958
"vm(PLANT_ID, k_full)_J344.C",-4.0302900516026154,1.449679473800792,-2.780124934124878
"vm(PLANT_ID, k_full)_J004.B",-1.157044742527795,1.4565298727074127,-0.7943844916665309
"vm(PLANT_ID, k_full)_J301.A",7.517802286247294,1.4479739689020596,5.191945744679195
"vm(PLANT_ID, k_full)_J013.C",2.960621391036589,1.4571757874244382,2.0317530778283754
"vm(PLANT_ID, k_full)_J018.C",3.8639441528115914,1.4503864134168887,2.6640791151019747
"vm(PLANT_ID, k_full)_J384.C",-5.131469722495476,1.445498326286942,-3.549965869332208
"vm(PLANT_ID, k_full)_J488.C",-2.1260187945497595,2.595932366226476,-0.8189808109832242
"vm(PLANT_ID, k_full)_J022.C",4.9684483080608075,1.4565147052911311,3.411189938564818
"vm(PLANT_ID, k_full)_J428.B",-1.8458081168533722,2.610635691462815,-0.7070339698830642
"vm(PLANT_ID, k_full)_J065.A",1.4539915174644327,1.4521136491969304,1.001293196485372
"vm(PLANT_ID, k_full)_J584.A",1.5601756072228792,2.7416417391066736,0.5690661857705891
"vm(PLANT_ID, k_full)_J311.A",1.54719946666611,1.4592442440051319,1.0602745037524155
"vm(PLANT_ID, k_full)_J016.B",1.9596252408934516,1.4514528699531097,1.3501128982278003
"vm(PLANT_ID, k_full)_J352.B",-0.7765340704818292,1.4473603940895023,-0.5365174241694841
"vm(PLANT_ID, k_full)_J001.B",1.9197621245983303,1.462957816178709,1.312247081472799
"vm(PLANT_ID, k_full)_J208.C",1.0722802277155974,1.4647612651606314,0.7320511903337414
"vm(PLANT_ID, k_full)_J008.D",3.307357856751861,2.611158377198908,1.2666247614975363
"vm(PLANT_ID, k_full)_J005.B",4.063168593975241,1.459621900097283,2.783713092893737
"vm(PLANT_ID, k_full)_J065.B",7.3816429664226915,1.4548397702800606,5.0738528855323395
"vm(PLANT_ID, k_full)_J584.B",1.623967185274694,2.786910751143028,0.5827123041556452
"vm(PLANT_ID, k_full)_J020.B",2.677841310682317,2.3857669395894123,1.1224236811426227
"vm(PLANT_ID, k_full)_J386.B",-1.9192539794761356,2.379774358652062,-0.8064856957964822
"vm(PLANT_ID, k_full)_J525.B",-2.8276036773297117,2.7613512486093765,-1.0239927567178206
"vm(PLANT_ID, k_full)_J022.D",-0.26305666966632135,1.4435988658952887,-0.18222282926440186
"vm(PLANT_ID, k_full)_J430.A",-2.542329601479625,1.4553490450258624,-1.7468865013303019
"vm(PLANT_ID, k_full)_J348.A",-3.7638276818773972,1.441597872863196,-2.6108721112372058
"vm(PLANT_ID, k_full)_J005.D",5.579052345947266,1.456879758237922,3.8294528525092977
"vm(PLANT_ID, k_full)_J316.A",3.9868381193785734,1.458484029595388,2.733549383111586
"vm(PLANT_ID, k_full)_J016.C",4.328154471530168,1.4511418611964468,2.9825853607183954
"vm(PLANT_ID, k_full)_J352.C",-3.9962913052475013,1.4535990785190303,-2.7492390194131393
"vm(PLANT_ID, k_full)_J003.B",1.5851821261977694,2.7525100428184412,0.5759042116244624
"vm(PLANT_ID, k_full)_J258.A",-6.260630839228397,1.4546978598847549,-4.3037327625713155
"vm(PLANT_ID, k_full)_J009.C",0.43276564782484,1.4469867350674406,0.299080590952805
"vm(PLANT_ID, k_full)_J023.B",8.81574415552314,1.4475048535901365,6.090303693046775
"vm(PLANT_ID, k_full)_J430.B",0.25362576579848617,1.4582340371109381,0.17392665329700507
"vm(PLANT_ID, k_full)_J073.A",2.489911137362785,1.4574183781828625,1.708439508267526
"vm(PLANT_ID, k_full)_J585.A",-0.8181565268572448,1.4620212774732007,-0.5596064431232205
"vm(PLANT_ID, k_full)_J020.C",1.767251582595221,1.4529846261859634,1.2162906274061538
"vm(PLANT_ID, k_full)_J394.B",-4.079171279493511,1.445528762813847,-2.821923288162769
"vm(PLANT_ID, k_full)_J538.C",-2.1469642661141477,1.4596585088493734,-1.4708675029795613
"vm(PLANT_ID, k_full)_J348.C",-4.2664099498486605,1.4418242171392468,-2.9590361287686875
"vm(PLANT_ID, k_full)_J006.B",4.252983719178696e-4,1.4614546040086172,2.9101031995884145e-4
"vm(PLANT_ID, k_full)_J320.A",2.706184313074104,2.659245545471119,1.0176511596241742
"vm(PLANT_ID, k_full)_J016.D",2.3110154158340097,1.4444913796187095,1.599881763533978
"vm(PLANT_ID, k_full)_J353.C",-1.398350700624766,1.4463167520666425,-0.9668357215849587
"vm(PLANT_ID, k_full)_J003.D",1.9464675505367797,1.4244179430987969,1.3665003027849205
"vm(PLANT_ID, k_full)_J030.C",5.220511222114303,2.412791307814151,2.1636812123812663
"vm(PLANT_ID, k_full)_J086.A",1.0007454423498705,1.4487856556081218,0.6907477572517874
"vm(PLANT_ID, k_full)_J585.C",-0.27385159351265775,1.4616428844379852,-0.18735875666234036
"vm(PLANT_ID, k_full)_J396.A",-4.374927204921435,1.4520285441730247,-3.012976034443656
"vm(PLANT_ID, k_full)_J354.C",-4.2839928460163,1.45277154653951,-2.9488413757969973
"vm(PLANT_ID, k_full)_J003.E",4.001680453502801,1.4430190006303427,2.773130812383467
"vm(PLANT_ID, k_full)_J296.A",3.112496508840485,2.6626201739435675,1.1689600113825518
"vm(PLANT_ID, k_full)_J350.B",-3.61232808483215,1.4565760838895019,-2.4800133166996217
"vm(PLANT_ID, k_full)_J006.C",-0.02968828415668987,1.461681846246352,-0.02031104390666846
"vm(PLANT_ID, k_full)_J336.A",3.7510765688933994,2.834528595883374,1.3233511118360708
"vm(PLANT_ID, k_full)_J016.E",2.982257300473409,1.4489843320725349,2.0581708404036214
"vm(PLANT_ID, k_full)_J021.C",1.8023872674093766,1.4660653833301234,1.2294044235021144
"vm(PLANT_ID, k_full)_J026.B",1.7168851666477567,2.8180839555493797,0.6092384732778671
"vm(PLANT_ID, k_full)_J458.C",1.8956789723856775,2.7299813895856717,0.6943926356484738
"vm(PLANT_ID, k_full)_J586.A",9.680054035623202,1.4652927648139347,6.606225232301882
"vm(PLANT_ID, k_full)_J018.B",4.786575575379885,1.4514613222335548,3.297763090244906
"vm(PLANT_ID, k_full)_J003.F",4.980397212089104,1.461649520736624,3.4073812780913064
"vm(PLANT_ID, k_full)_J299.A",4.703621444117387,1.4585769033759024,3.2248018141729595
"vm(PLANT_ID, k_full)_J013.B",3.7091098919905727,2.487066302052751,1.4913594739831355
"vm(PLANT_ID, k_full)_J350.C",-3.3145657778263504,1.4431059739008836,-2.296827702034032
"vm(PLANT_ID, k_full)_J008.B",1.270795264498725,1.4551270444045603,0.8733225524089795
"vm(PLANT_ID, k_full)_J204.A",-1.2282595433315031,1.470295676786469,-0.835382680316405
"vm(PLANT_ID, k_full)_J461.C",2.448698810752083,2.790124938249678,0.8776305237027195
"vm(PLANT_ID, k_full)_J022.B",4.342124003312108,1.4567261620812642,2.9807414161549746
"vm(PLANT_ID, k_full)_J425.A",-0.04517282802929073,1.462217523357911,-0.03089337072472879
"vm(PLANT_ID, k_full)_J045.C",-3.005454822963377,1.452926073821351,-2.0685531611795702
"vm(PLANT_ID, k_full)_J026.C",4.770261979896367,1.4605057138341024,3.266171391670582
"vm(PLANT_ID, k_full)_J587.A",3.1376240114929526,1.449067611491204,2.165270955344928
"vm(PLANT_ID, k_full)_J537.C",-2.264182761668387,2.755943765996308,-0.8215634838433856
"vm(PLANT_ID, k_full)_J596.C",4.707961176225613,1.4578840965935025,3.2293110180886484
"vm(PLANT_ID, k_full)_J601.A",0.32115798957419267,1.4596565230555598,0.22002298794369737
"vm(PLANT_ID, k_full)_J597.A",0.3296713390686141,1.4586615400975593,0.22600948198480972
"vm(PLANT_ID, k_full)_J601.B",2.9959339858639114,1.4612441249116515,2.0502624679808714
"vm(PLANT_ID, k_full)_J597.B",0.9297146042184425,1.4558629561542595,0.6386003574638192
"vm(PLANT_ID, k_full)_J602.A",1.4801378241403533,2.795385209185984,0.5294933303919747
"vm(PLANT_ID, k_full)_J597.C",4.0044888088227095,1.459723413430524,2.7433202564119212
